mode,p,seed,k,n_eval,n_correct,accuracy
1,1.0,1,4,150,67,0.44666666666666666
1,1.0,1,8,150,73,0.4866666666666667
1,1.0,2,1,150,82,0.5466666666666666
1,1.0,2,2,150,66,0.44
1,1.0,2,4,150,72,0.48
1,1.0,2,8,150,70,0.4666666666666667
1,1.0,3,1,150,85,0.5666666666666667
1,1.0,3,2,150,80,0.5333333333333333
1,1.0,3,4,150,71,0.47333333333333333
1,1.0,3,8,150,68,0.4533333333333333
1,1.0,4,1,150,82,0.5466666666666666
1,1.0,4,2,150,63,0.42
1,1.0,4,4,150,55,0.36666666666666664
1,1.0,4,8,150,61,0.4066666666666667
1,1.0,5,1,150,65,0.43333333333333335
1,1.0,5,2,150,65,0.43333333333333335
1,1.0,5,4,150,65,0.43333333333333335
1,1.0,5,8,150,76,0.5066666666666667
1,1.0,6,1,150,93,0.62
1,1.0,6,2,150,76,0.5066666666666667
1,1.0,6,4,150,77,0.5133333333333333
1,1.0,6,8,150,85,0.5666666666666667
1,1.0,7,1,150,68,0.4533333333333333
1,1.0,7,2,150,56,0.37333333333333335
1,1.0,7,4,150,60,0.4
1,1.0,7,8,150,62,0.41333333333333333
2,0.0,0,1,150,150,1.0
2,0.0,0,2,150,150,1.0
2,0.0,0,4,150,150,1.0
2,0.0,0,8,150,150,1.0
2,0.0,1,1,150,150,1.0
2,0.0,1,2,150,150,1.0
2,0.0,1,4,150,150,1.0
2,0.0,1,8,150,150,1.0
2,0.0,2,1,150,150,1.0
2,0.0,2,2,150,150,1.0
2,0.0,2,4,150,150,1.0
2,0.0,2,8,150,150,1.0
2,0.0,3,1,150,150,1.0
2,0.0,3,2,150,150,1.0
2,0.0,3,4,150,150,1.0
2,0.0,3,8,150,150,1.0
2,0.0,4,1,150,150,1.0
2,0.0,4,2,150,150,1.0
2,0.0,4,4,150,150,1.0
2,0.0,4,8,150,150,1.0
2,0.0,5,1,150,150,1.0
2,0.0,5,2,150,150,1.0
2,0.0,5,4,150,150,1.0
2,0.0,5,8,150,150,1.0
2,0.0,6,1,150,150,1.0
2,0.0,6,2,150,150,1.0
2,0.0,6,4,150,150,1.0
2,0.0,6,8,150,150,1.0
2,0.0,7,1,150,150,1.0
2,0.0,7,2,150,150,1.0
2,0.0,7,4,150,150,1.0
2,0.0,7,8,150,150,1.0
2,0.25,0,1,150,53,0.35333333333333333
2,0.25,0,2,150,60,0.4
2,0.25,0,4,150,61,0.4066666666666667
2,0.25,0,8,150,55,0.36666666666666664
2,0.25,1,1,150,62,0.41333333333333333
2,0.25,1,2,150,50,0.3333333333333333
2,0.25,1,4,150,54,0.36
2,0.25,1,8,150,56,0.37333333333333335
