mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.5,0,20,chemotaxis,200,64,0.32
1,0.5,0,40,recency,200,66,0.33
1,0.5,0,40,point,200,102,0.51
1,0.5,0,40,concat,200,111,0.555
1,0.5,0,40,chemotaxis,200,72,0.36
1,0.5,0,80,recency,200,66,0.33
1,0.5,0,80,point,200,127,0.635
1,0.5,0,80,concat,200,120,0.6
1,0.5,0,80,chemotaxis,200,91,0.455
1,0.5,1,10,recency,200,41,0.205
1,0.5,1,10,point,200,83,0.415
1,0.5,1,10,concat,200,76,0.38
1,0.5,1,10,chemotaxis,200,53,0.265
1,0.5,1,20,recency,200,41,0.205
1,0.5,1,20,point,200,97,0.485
1,0.5,1,20,concat,200,74,0.37
1,0.5,1,20,chemotaxis,200,53,0.265
1,0.5,1,40,recency,200,42,0.21
1,0.5,1,40,point,200,119,0.595
1,0.5,1,40,concat,200,105,0.525
1,0.5,1,40,chemotaxis,200,80,0.4
1,0.5,1,80,recency,200,41,0.205
1,0.5,1,80,point,200,145,0.725
1,0.5,1,80,concat,200,120,0.6
1,0.5,1,80,chemotaxis,200,86,0.43
1,0.5,2,10,recency,200,67,0.335
1,0.5,2,10,point,200,92,0.46
1,0.5,2,10,concat,200,82,0.41
1,0.5,2,10,chemotaxis,200,52,0.26
1,0.5,2,20,recency,200,63,0.315
1,0.5,2,20,point,200,100,0.5
1,0.5,2,20,concat,200,88,0.44
1,0.5,2,20,chemotaxis,200,59,0.295
1,0.5,2,40,recency,200,65,0.325
1,0.5,2,40,point,200,117,0.585
1,0.5,2,40,concat,200,110,0.55
1,0.5,2,40,chemotaxis,200,72,0.36
1,0.5,2,80,recency,200,63,0.315
1,0.5,2,80,point,200,134,0.67
1,0.5,2,80,concat,200,125,0.625
1,0.5,2,80,chemotaxis,200,91,0.455
1,0.5,3,10,recency,200,60,0.3
1,0.5,3,10,point,200,89,0.445
1,0.5,3,10,concat,200,83,0.415
1,0.5,3,10,chemotaxis,200,71,0.355
1,0.5,3,20,recency,200,59,0.295
1,0.5,3,20,point,200,114,0.57
1,0.5,3,20,concat,200,100,0.5
1,0.5,3,20,chemotaxis,200,91,0.455
1,0.5,3,40,recency,200,60,0.3
1,0.5,3,40,point,200,131,0.655
1,0.5,3,40,concat,200,101,0.505
1,0.5,3,40,chemotaxis,200,80,0.4
1,0.5,3,80,recency,200,60,0.3
1,0.5,3,80,point,200,135,0.675
1,0.5,3,80,concat,200,119,0.595
1,0.5,3,80,chemotaxis,200,93,0.465
1,0.5,4,10,recency,200,49,0.245
1,0.5,4,10,point,200,82,0.41
