mode,method,mean,ci95,n
1,chemotaxis,0.5148125,0.04273657305520839,80
1,concat,0.585,0.0379284024032223,80
1,point,0.6505625,0.030574155958572494,80
1,recency,0.37887499999999996,0.06387913844752031,80
2,chemotaxis,0.332125,0.05790224988250194,80
2,concat,0.40325,0.05898555059064052,80
2,point,0.352625,0.05920229874674407,80
2,recency,0.35162499999999997,0.06133808084468294,80
