control,mode,p,seed,method,n_eval,n_correct,accuracy
none,2,0.3,9,chemotaxis,200,54,0.27
shuffled_r,2,0.3,9,recency,200,68,0.34
shuffled_r,2,0.3,9,point,200,64,0.32
shuffled_r,2,0.3,9,concat,200,77,0.385
shuffled_r,2,0.3,9,chemotaxis,200,51,0.255
shuffled_d,2,0.3,9,recency,200,63,0.315
shuffled_d,2,0.3,9,point,200,64,0.32
shuffled_d,2,0.3,9,concat,200,53,0.265
shuffled_d,2,0.3,9,chemotaxis,200,58,0.29
none,2,0.6,0,recency,200,39,0.195
none,2,0.6,0,point,200,43,0.215
none,2,0.6,0,concat,200,62,0.31
none,2,0.6,0,chemotaxis,200,42,0.21
shuffled_r,2,0.6,0,recency,200,48,0.24
shuffled_r,2,0.6,0,point,200,33,0.165
shuffled_r,2,0.6,0,concat,200,43,0.215
shuffled_r,2,0.6,0,chemotaxis,200,37,0.185
shuffled_d,2,0.6,0,recency,200,39,0.195
shuffled_d,2,0.6,0,point,200,43,0.215
shuffled_d,2,0.6,0,concat,200,44,0.22
shuffled_d,2,0.6,0,chemotaxis,200,41,0.205
none,2,0.6,1,recency,200,29,0.145
none,2,0.6,1,point,200,38,0.19
none,2,0.6,1,concat,200,43,0.215
none,2,0.6,1,chemotaxis,200,33,0.165
shuffled_r,2,0.6,1,recency,200,31,0.155
shuffled_r,2,0.6,1,point,200,42,0.21
shuffled_r,2,0.6,1,concat,200,39,0.195
shuffled_r,2,0.6,1,chemotaxis,200,37,0.185
shuffled_d,2,0.6,1,recency,200,29,0.145
shuffled_d,2,0.6,1,point,200,38,0.19
shuffled_d,2,0.6,1,concat,200,32,0.16
shuffled_d,2,0.6,1,chemotaxis,200,30,0.15
none,2,0.6,2,recency,200,43,0.215
none,2,0.6,2,point,200,45,0.225
none,2,0.6,2,concat,200,57,0.285
none,2,0.6,2,chemotaxis,200,41,0.205
shuffled_r,2,0.6,2,recency,200,41,0.205
shuffled_r,2,0.6,2,point,200,36,0.18
shuffled_r,2,0.6,2,concat,200,39,0.195
shuffled_r,2,0.6,2,chemotaxis,200,30,0.15
shuffled_d,2,0.6,2,recency,200,43,0.215
shuffled_d,2,0.6,2,point,200,45,0.225
shuffled_d,2,0.6,2,concat,200,51,0.255
shuffled_d,2,0.6,2,chemotaxis,200,43,0.215
none,2,0.6,3,recency,200,36,0.18
none,2,0.6,3,point,200,39,0.195
none,2,0.6,3,concat,200,47,0.235
none,2,0.6,3,chemotaxis,200,41,0.205
shuffled_r,2,0.6,3,recency,200,40,0.2
shuffled_r,2,0.6,3,point,200,36,0.18
shuffled_r,2,0.6,3,concat,200,28,0.14
shuffled_r,2,0.6,3,chemotaxis,200,36,0.18
shuffled_d,2,0.6,3,recency,200,36,0.18
shuffled_d,2,0.6,3,point,200,39,0.195
shuffled_d,2,0.6,3,concat,200,42,0.21
shuffled_d,2,0.6,3,chemotaxis,200,42,0.21
none,2,0.6,4,recency,200,30,0.15
none,2,0.6,4,point,200,39,0.195
none,2,0.6,4,concat,200,50,0.25
none,2,0.6,4,chemotaxis,200,44,0.22
shuffled_r,2,0.6,4,recency,200,33,0.165
shuffled_r,2,0.6,4,point,200,32,0.16
shuffled_r,2,0.6,4,concat,200,36,0.18
shuffled_r,2,0.6,4,chemotaxis,200,31,0.155
shuffled_d,2,0.6,4,recency,200,30,0.15
shuffled_d,2,0.6,4,point,200,39,0.195
shuffled_d,2,0.6,4,concat,200,35,0.175
shuffled_d,2,0.6,4,chemotaxis,200,27,0.135
none,2,0.6,5,recency,200,46,0.23
none,2,0.6,5,point,200,45,0.225
none,2,0.6,5,concat,200,53,0.265
none,2,0.6,5,chemotaxis,200,39,0.195
shuffled_r,2,0.6,5,recency,200,35,0.175
shuffled_r,2,0.6,5,point,200,34,0.17
shuffled_r,2,0.6,5,concat,200,42,0.21
shuffled_r,2,0.6,5,chemotaxis,200,38,0.19
shuffled_d,2,0.6,5,recency,200,46,0.23
shuffled_d,2,0.6,5,point,200,45,0.225
shuffled_d,2,0.6,5,concat,200,41,0.205
shuffled_d,2,0.6,5,chemotaxis,200,40,0.2
none,2,0.6,6,recency,200,26,0.13
none,2,0.6,6,point,200,39,0.195
none,2,0.6,6,concat,200,59,0.295
none,2,0.6,6,chemotaxis,200,39,0.195
shuffled_r,2,0.6,6,recency,200,44,0.22
shuffled_r,2,0.6,6,point,200,41,0.205
shuffled_r,2,0.6,6,concat,200,44,0.22
shuffled_r,2,0.6,6,chemotaxis,200,32,0.16
shuffled_d,2,0.6,6,recency,200,26,0.13
shuffled_d,2,0.6,6,point,200,39,0.195
shuffled_d,2,0.6,6,concat,200,37,0.185
shuffled_d,2,0.6,6,chemotaxis,200,43,0.215
none,2,0.6,7,recency,200,40,0.2
none,2,0.6,7,point,200,39,0.195
none,2,0.6,7,concat,200,58,0.29
none,2,0.6,7,chemotaxis,200,40,0.2
shuffled_r,2,0.6,7,recency,200,31,0.155
shuffled_r,2,0.6,7,point,200,45,0.225
shuffled_r,2,0.6,7,concat,200,48,0.24
shuffled_r,2,0.6,7,chemotaxis,200,37,0.185
shuffled_d,2,0.6,7,recency,200,40,0.2
shuffled_d,2,0.6,7,point,200,39,0.195
shuffled_d,2,0.6,7,concat,200,31,0.155
shuffled_d,2,0.6,7,chemotaxis,200,47,0.235
none,2,0.6,8,recency,200,37,0.185
none,2,0.6,8,point,200,45,0.225
none,2,0.6,8,concat,200,49,0.245
none,2,0.6,8,chemotaxis,200,42,0.21
shuffled_r,2,0.6,8,recency,200,45,0.225
shuffled_r,2,0.6,8,point,200,41,0.205
shuffled_r,2,0.6,8,concat,200,33,0.165
shuffled_r,2,0.6,8,chemotaxis,200,31,0.155
shuffled_d,2,0.6,8,recency,200,37,0.185
shuffled_d,2,0.6,8,point,200,45,0.225
shuffled_d,2,0.6,8,concat,200,41,0.205
shuffled_d,2,0.6,8,chemotaxis,200,40,0.2
none,2,0.6,9,recency,200,38,0.19
none,2,0.6,9,point,200,43,0.215
none,2,0.6,9,concat,200,47,0.235
none,2,0.6,9,chemotaxis,200,39,0.195
shuffled_r,2,0.6,9,recency,200,49,0.245
shuffled_r,2,0.6,9,point,200,39,0.195
shuffled_r,2,0.6,9,concat,200,44,0.22
shuffled_r,2,0.6,9,chemotaxis,200,34,0.17
shuffled_d,2,0.6,9,recency,200,38,0.19
shuffled_d,2,0.6,9,point,200,43,0.215
shuffled_d,2,0.6,9,concat,200,42,0.21
shuffled_d,2,0.6,9,chemotaxis,200,46,0.23
none,2,0.9,0,recency,200,27,0.135
none,2,0.9,0,point,200,31,0.155
none,2,0.9,0,concat,200,34,0.17
none,2,0.9,0,chemotaxis,200,34,0.17
shuffled_r,2,0.9,0,recency,200,33,0.165
shuffled_r,2,0.9,0,point,200,32,0.16
shuffled_r,2,0.9,0,concat,200,35,0.175
shuffled_r,2,0.9,0,chemotaxis,200,32,0.16
shuffled_d,2,0.9,0,recency,200,27,0.135
shuffled_d,2,0.9,0,point,200,31,0.155
shuffled_d,2,0.9,0,concat,200,31,0.155
shuffled_d,2,0.9,0,chemotaxis,200,34,0.17
none,2,0.9,1,recency,200,30,0.15
none,2,0.9,1,point,200,35,0.175
none,2,0.9,1,concat,200,33,0.165
none,2,0.9,1,chemotaxis,200,34,0.17
shuffled_r,2,0.9,1,recency,200,36,0.18
shuffled_r,2,0.9,1,point,200,31,0.155
shuffled_r,2,0.9,1,concat,200,29,0.145
shuffled_r,2,0.9,1,chemotaxis,200,30,0.15
shuffled_d,2,0.9,1,recency,200,30,0.15
shuffled_d,2,0.9,1,point,200,35,0.175
shuffled_d,2,0.9,1,concat,200,32,0.16
shuffled_d,2,0.9,1,chemotaxis,200,35,0.175
none,2,0.9,2,recency,200,27,0.135
none,2,0.9,2,point,200,34,0.17
none,2,0.9,2,concat,200,38,0.19
none,2,0.9,2,chemotaxis,200,39,0.195
shuffled_r,2,0.9,2,recency,200,30,0.15
shuffled_r,2,0.9,2,point,200,32,0.16
shuffled_r,2,0.9,2,concat,200,34,0.17
shuffled_r,2,0.9,2,chemotaxis,200,35,0.175
shuffled_d,2,0.9,2,recency,200,27,0.135
shuffled_d,2,0.9,2,point,200,34,0.17
shuffled_d,2,0.9,2,concat,200,35,0.175
shuffled_d,2,0.9,2,chemotaxis,200,36,0.18
none,2,0.9,3,recency,200,30,0.15
none,2,0.9,3,point,200,34,0.17
none,2,0.9,3,concat,200,32,0.16
none,2,0.9,3,chemotaxis,200,31,0.155
shuffled_r,2,0.9,3,recency,200,28,0.14
shuffled_r,2,0.9,3,point,200,30,0.15
shuffled_r,2,0.9,3,concat,200,30,0.15
shuffled_r,2,0.9,3,chemotaxis,200,28,0.14
shuffled_d,2,0.9,3,recency,200,30,0.15
shuffled_d,2,0.9,3,point,200,34,0.17
shuffled_d,2,0.9,3,concat,200,32,0.16
shuffled_d,2,0.9,3,chemotaxis,200,29,0.145
none,2,0.9,4,recency,200,25,0.125
none,2,0.9,4,point,200,33,0.165
none,2,0.9,4,concat,200,40,0.2
none,2,0.9,4,chemotaxis,200,41,0.205
shuffled_r,2,0.9,4,recency,200,37,0.185
shuffled_r,2,0.9,4,point,200,32,0.16
shuffled_r,2,0.9,4,concat,200,34,0.17
shuffled_r,2,0.9,4,chemotaxis,200,33,0.165
shuffled_d,2,0.9,4,recency,200,25,0.125
shuffled_d,2,0.9,4,point,200,33,0.165
shuffled_d,2,0.9,4,concat,200,29,0.145
shuffled_d,2,0.9,4,chemotaxis,200,30,0.15
none,2,0.9,5,recency,200,37,0.185
none,2,0.9,5,point,200,39,0.195
none,2,0.9,5,concat,200,43,0.215
none,2,0.9,5,chemotaxis,200,41,0.205
shuffled_r,2,0.9,5,recency,200,35,0.175
shuffled_r,2,0.9,5,point,200,39,0.195
shuffled_r,2,0.9,5,concat,200,36,0.18
shuffled_r,2,0.9,5,chemotaxis,200,38,0.19
shuffled_d,2,0.9,5,recency,200,37,0.185
shuffled_d,2,0.9,5,point,200,39,0.195
shuffled_d,2,0.9,5,concat,200,40,0.2
shuffled_d,2,0.9,5,chemotaxis,200,42,0.21
none,2,0.9,6,recency,200,37,0.185
none,2,0.9,6,point,200,39,0.195
