control,mode,p,seed,method,n_eval,n_correct,accuracy
none,2,0.6,0,chemotaxis,12,3,0.25
shuffled_d,2,0.6,0,chemotaxis,12,4,0.3333333333333333
none,2,0.6,1,chemotaxis,12,2,0.16666666666666666
shuffled_d,2,0.6,1,chemotaxis,12,2,0.16666666666666666
