variant,epoch,train_loss,train_acc,val_loss,val_acc,holm_significant
full,0,1.582899703843253,0.4032678571428571,1.5583888904026577,0.41314285714285715,
full,1,1.5324287567138672,0.429375,1.5490568686894008,0.4062857142857143,
full,2,1.5249817613874164,0.4270178571428571,1.5459747582844325,0.4190714285714286,
full,3,1.5171750876562935,0.427,1.540521090371268,0.41735714285714287,
full,4,1.5086065172467913,0.4266964285714286,1.532821402004787,0.4145,
full,5,1.5044571601322718,0.42492857142857143,1.524982010296413,0.41828571428571426,
full,6,1.4970276722226825,0.426125,1.514137884412493,0.4162142857142857,
full,7,1.4938025403703963,0.42846428571428574,1.5181418278557914,0.4102142857142857,
full,8,1.4912647581100464,0.42810714285714285,1.5214171412331718,0.41928571428571426,
full,9,1.4885173529216222,0.4318571428571429,1.510118923323495,0.41678571428571426,
full,10,1.482100036076137,0.4350178571428571,1.5000399859292166,0.42507142857142854,
full,11,1.4752019481658936,0.43935714285714284,1.4928578650610786,0.42657142857142855,
full,12,1.470046277318682,0.4447857142857143,1.4916740307126726,0.4272142857142857,
full,13,1.4633504088265554,0.4465892857142857,1.4808080289023262,0.42928571428571427,
full,14,1.4603251363209315,0.4481428571428571,1.4987622692925588,0.4305,
full,15,1.460980108669826,0.44655357142857144,1.4787874306270055,0.43007142857142855,
full,16,1.4569404517582485,0.4483214285714286,1.4828438351494926,0.42264285714285715,
full,17,1.452496478353228,0.44975,1.472534356525966,0.43742857142857144,
full,18,1.4548575586591448,0.44889285714285715,1.4716825742721558,0.4342857142857143,
full,19,1.452916239465986,0.45019642857142855,1.4731979258401053,0.43107142857142855,
full,20,1.4513414134979248,0.45026785714285716,1.4701896209716796,0.43342857142857144,
full,21,1.4484835626057215,0.45167857142857143,1.4682197162083217,0.43935714285714284,
full,22,1.4501101316724505,0.4499464285714286,1.4763100091389247,0.43242857142857144,
full,23,1.4490508272988456,0.45085714285714285,1.470619666644505,0.4392142857142857,
full,24,1.4472249574661256,0.4517857142857143,1.4718297628675188,0.42964285714285716,
full,25,1.4453797130584716,0.451875,1.4827094312395368,0.435,
full,26,1.4503263684681484,0.4498214285714286,1.4661324798039028,0.43785714285714283,
full,27,1.4456152142116,0.4524464285714286,1.4645103736604963,0.43907142857142856,
full,28,1.445429453577314,0.4528214285714286,1.4692382621765137,0.43207142857142855,
full,29,1.4458820323944093,0.4524285714285714,1.4653445937292917,0.4357142857142857,
full,30,1.4439664981024607,0.45317857142857143,1.467149999346052,0.43414285714285716,
full,31,1.4481912508010863,0.4503035714285714,1.477112385886056,0.42757142857142855,
full,32,1.4453921090534756,0.4512857142857143,1.4646307539258685,0.4387857142857143,
